item_id,category,repo,file,composable,evidence,snippet,verdict,notes
pilot-0199,missing_state_description,odaridavid__WeatherApp,odaridavid__WeatherApp/app/src/main/java/com/github/odaridavid/weatherapp/designsystem/organism/BottomSheets.kt,SingleSelectBottomSheet,RadioButton without stateDescription,"@OptIn(ExperimentalMaterial3Api::class)
@Composable
fun SingleSelectBottomSheet(
    title: String,
    items: List<BottomSheetItem>,
    selectedItem: BottomSheetItem,
    sheetState: SheetState,
    onSaveState: (BottomSheetItem) -> Unit,
    onDismiss: (() -> Unit)? = null,
) {
    val scope = rememberCoroutineScope()
    ModalBottomSheet(
        onDismissRequest = {
            scope.launch {
                sheetState.hide()
            }",,
pilot-0291,touch_target_size,dmzz-yyhyy__LightNovelReader,dmzz-yyhyy__LightNovelReader/app/src/main/kotlin/indi/dmzz_yyhyy/lightnovelreader/ui/home/reading/stats/StatsOverviewScreen.kt,LevelBox,size(20.dp) on interactive element,"
@Composable
private fun LevelBox(
    color: Color,
    selected: Boolean? = false,
    onClick: (() -> Unit)? = null
) {
    Box(
        modifier = Modifier
            .size(20.dp)
            .padding(2.dp)
            .clip(RoundedCornerShape(2.dp))
            .let { modifier ->
                if (selected == true) {
                    modifier.border(1.dp, MaterialTheme.colorScheme.onSurface)
                } else {",,
pilot-0231,progress_no_semantics,isotjs__todosian-app,isotjs__todosian-app/app/src/main/java/com/isotjs/todosian/ui/components/TodosianComponents.kt,TodosianLinearProgress,LinearProgressIndicator without progressSemantics,"
@Composable
fun TodosianLinearProgress(
    progress: Float,
    modifier: Modifier = Modifier,
) {
    val shape = RoundedCornerShape(TodosianDimens.ProgressHeight / 2)
    LinearProgressIndicator(
        progress = { progress.coerceIn(0f, 1f) },
        color = MaterialTheme.colorScheme.primary,
        trackColor = MaterialTheme.colorScheme.surfaceContainerHighest,
        modifier = modifier
            .height(TodosianDimens.ProgressHeight)
            .clip(shape),
    )
}",,
pilot-0094,missing_content_description,elgrande73__FOSS-snore-detector-android-app,elgrande73__FOSS-snore-detector-android-app/app/src/main/java/com/aistudio/snoredetector/afkwd/MainActivity.kt,SettingsTab,contentDescription = null,"
@Composable
fun SettingsTab(viewModel: SnoreViewModel) {
    // Collect Configuration states
    val useRms by viewModel.useRms.collectAsState()
    val rmsDbThreshold by viewModel.rmsDbThreshold.collectAsState()

    val useZcr by viewModel.useZcr.collectAsState()
    val zcrThreshold by viewModel.zcrThreshold.collectAsState()

    val useBandEnergy by viewModel.useBandEnergy.collectAsState()
    val bandEnergyThreshold by viewModel.bandEnergyThreshold.collectAsState()

    val useLowFreqRatio by viewModel.useLowFreqRatio.collectAsState()
    val lowFreqRatioThreshold by viewModel.lowFreqRatioThreshold.collectAsState()
",,
pilot-0290,touch_target_size,crome1394__point-forecast,crome1394__point-forecast/forecast-point/app/src/main/java/com/crome/forecastpoint/MainActivity.kt,AppDrawer,size(32.dp) on interactive element,"
@Composable
private fun AppDrawer(
    favorites: List<SavedLocation>,
    activeId: String?,
    navConfig: List<com.crome.forecastpoint.data.DrawerNavConfigItem>,
    onNavOrderChange: (List<String>) -> Unit,
    onForecast: () -> Unit,
    onCurrentLocation: () -> Unit,
    onAddCity: () -> Unit,
    onMap: () -> Unit,
    onSun: () -> Unit,
    onMoon: () -> Unit,
    onSpaceWeather: () -> Unit,
    onEarthquakes: () -> Unit,
    onStorms: () -> Unit,",,
pilot-0001,clickable_icon_not_iconbutton,maximilian-schwaerzler__Do-It,maximilian-schwaerzler__Do-It/app/src/main/java/at/co/schwaerzler/maximilian/doit/ui/navigation/screen/SettingsScreen.kt,SettingsScreenContent,Icon made clickable directly instead of IconButton,"@OptIn(ExperimentalMaterial3Api::class)
@Composable
fun SettingsScreenContent(
    onNavigateBack: () -> Unit,
    themeMode: AppThemeMode,
    onSetTheme: (AppThemeMode) -> Unit,
    versionName: String?,
    currentLocaleTag: String,
    supportedLocales: List<Pair<String, String>>,
    onSetLanguage: (String) -> Unit,
    notificationLeadTime: NotificationLeadTime,
    onSetNotificationLeadTime: (NotificationLeadTime) -> Unit,
    modifier: Modifier = Modifier,
    useDynamicColors: Boolean,
    onSetUseDynamicColors: (Boolean) -> Unit
) {",,
pilot-0022,color_contrast,RevenueCat__purchases-android,RevenueCat__purchases-android/ui/revenuecatui/src/main/kotlin/com/revenuecat/purchases/ui/revenuecatui/components/LoadedPaywallComponentsPreviews.kt,LoadedPaywallComponents_Preview_CenteredBodyFooter,4 hardcoded Color literals with Text,"@Preview(name = ""CenteredBodyFooter"", showSystemUi = true)
@Composable
private fun LoadedPaywallComponents_Preview_CenteredBodyFooter() {
    val textColor = ColorScheme(light = ColorInfo.Hex(Color(0xFF272727).toArgb()))
    val backgroundColor = ColorScheme(light = ColorInfo.Hex(Color(0xFFFDFDFD).toArgb()))
    val footerColor = ColorScheme(light = ColorInfo.Hex(Color(0x99057C5B).toArgb()))
    val ctaTextColor = ColorScheme(light = ColorInfo.Hex(Color.White.toArgb()))
    val ctaBackgroundColor = ColorScheme(light = ColorInfo.Hex(Color(0xFF0A3D2E).toArgb()))

    val data = PaywallComponentsData(
        id = ""preview_centered_body_footer"",
        templateName = ""template"",
        assetBaseURL = URL(""https://assets.pawwalls.com""),
        componentsConfig = ComponentsConfig(
            base = PaywallComponentsConfig(
                stack = StackComponent(",,
pilot-0139,missing_interaction_semantics,KaushalVasava__XPhotogram,KaushalVasava__XPhotogram/app/src/main/java/com/lahsuak/apps/instagram/ui/screen/HomeScreen.kt,HomeScreen,.clickable without onClickLabel,"@OptIn(ExperimentalMaterial3Api::class, ExperimentalMaterialApi::class)
@Composable
fun HomeScreen(
    modifier: Modifier = Modifier,
    homeViewModel: HomeViewModel,
    navController: NavController,
) {

    val userState = homeViewModel.users.collectAsState()
    val storiesState =
        homeViewModel.stories.collectAsState()
    val postsState =
        homeViewModel.posts.collectAsState()
    val bottomSheet = rememberModalBottomSheetState()
    var isBottomSheetOpened by remember {
        mutableStateOf(false)",,
pilot-0137,missing_interaction_semantics,piratecash__pcash-wallet,piratecash__pcash-wallet/app/src/main/java/cash/p/terminal/ui/compose/components/CoinImage.kt,CoinImage,.clickable without onClickLabel,"
@Composable
fun CoinImage(
    coin: Coin?,
    modifier: Modifier,
    colorFilter: ColorFilter? = null
) = HsImage(
    url = coin?.imageUrl,
    alternativeUrl = coin?.alternativeImageUrl,
    placeholder = coin?.imagePlaceholder,
    modifier = modifier.clip(CircleShape),
    colorFilter = colorFilter
)

@Composable
fun CoinImage(",,
pilot-0003,clickable_icon_not_iconbutton,jmccoy600__androidCrypt,jmccoy600__androidCrypt/app/src/main/java/com/androidcrypt/app/MainActivity.kt,DeviceFolderPickerDialog,Icon made clickable directly instead of IconButton," */
@Composable
private fun DeviceFolderPickerDialog(
    onDismiss: () -> Unit,
    onFolderSelected: (java.io.File) -> Unit
) {
    var currentDir by remember {
        mutableStateOf(android.os.Environment.getExternalStorageDirectory())
    }

    // Sorted list of sub-directories in the current directory
    val subDirs = remember(currentDir) {
        currentDir.listFiles()
            ?.filter { it.isDirectory && !it.isHidden }
            ?.sortedBy { it.name.lowercase() }
            ?: emptyList()",,
pilot-0177,missing_semantics_role,maxwhipw__marmalade-tts-android,maxwhipw__marmalade-tts-android/app/src/main/java/app/marmalade/tts/ui/screen/AdvancedSettingsScreen.kt,BenchmarkSection,.clickable without Role," */
@Composable
private fun BenchmarkSection(onClick: () -> Unit) {
    SectionHeader(stringResource(R.string.settings_debug))

    ListItem(
        modifier = Modifier.clickable(onClick = onClick),
        headlineContent = { Text(stringResource(R.string.settings_benchmark)) },
        supportingContent = {
            Text(text = stringResource(R.string.settings_benchmark_desc))
        },
        trailingContent = {
            Icon(
                imageVector = Icons.AutoMirrored.Filled.KeyboardArrowRight,
                contentDescription = null,
            )",,
pilot-0246,text_truncation_scaling,isotjs__todosian-app,isotjs__todosian-app/app/src/main/java/com/isotjs/todosian/ui/category/CategoryScreen.kt,CategoryScreen,maxLines = 1 with Ellipsis (clips at large font scale),"@OptIn(ExperimentalMaterial3Api::class, ExperimentalFoundationApi::class)
@Composable
fun CategoryScreen(
    fileRepository: FileRepository,
    appSettingsRepository: AppSettingsRepository,
    categoryUri: Uri,
    onBack: () -> Unit,
    modifier: Modifier = Modifier,
    autoOpenAddTodo: Boolean = false,
) {
    val viewModel: CategoryViewModel = viewModel(
        factory = CategoryViewModelFactory(
            fileRepository = fileRepository,
            categoryUri = categoryUri,
        ),
    )",,
pilot-0176,missing_semantics_role,zhishengplus__ZhishengWeather,zhishengplus__ZhishengWeather/app/src/main/kotlin/com/zhisheng/weather/ui/LandscapeStandbyScreen.kt,ClassicLandscapeStandbyScreen,.clickable without Role,"/** 已发布并获得用户认可的经典横屏终端；作为独立实现长期保留。 */
@Composable
private fun ClassicLandscapeStandbyScreen(
    uiState: HomeUiState,
    onRefresh: () -> Unit,
    onExitLandscape: () -> Unit,
    onSettings: () -> Unit,
) {
    val data = uiState.weather
    val current = data?.current
    val offset = data?.utcOffsetSeconds
    var nowMillis by remember { mutableLongStateOf(System.currentTimeMillis()) }
    LaunchedEffect(offset) {
        while (true) {
            nowMillis = System.currentTimeMillis()
            delay(1_000L - nowMillis % 1_000L)",,
pilot-0150,missing_merge_descendants,Dev-Aditya-More__PokeVerse,Dev-Aditya-More__PokeVerse/app/src/main/java/com/aditya1875/pokeverse/feature/analysis/presentation/screens/TeamAnalysis.kt,EmptyAnalysisView,"clickable Column with 3 Text children, no mergeDescendants","
@Composable
fun EmptyAnalysisView(navController: NavController) {
    Box(Modifier.fillMaxSize().background(AnalysisColors.BG), contentAlignment = Alignment.Center) {
        Column(
            Modifier.padding(32.dp),
            horizontalAlignment = Alignment.CenterHorizontally,
            verticalArrangement = Arrangement.spacedBy(12.dp)
        ) {
            Text(""📋"", fontSize = 56.sp)
            Text(stringResource(R.string.analysis_empty_title), style = MaterialTheme.typography.headlineSmall,
                color = Color.White, fontWeight = FontWeight.Bold)
            Text(stringResource(R.string.analysis_empty_subtitle),
                style = MaterialTheme.typography.bodyMedium,
                color = Color.White.copy(alpha = 0.6f), textAlign = TextAlign.Center)
            Spacer(Modifier.height(8.dp))",,
pilot-0054,decorative_mislabeled,cryptrr__AutoPie,cryptrr__AutoPie/app/src/main/java/com/autosec/pie/autopieapp/presentation/screens/HomeScreen.kt,InstallNewCommandsBadge,"decorative with description ""Install commands""","
@Composable
private fun InstallNewCommandsBadge(
    onInstallNewClick: () -> Unit,
    message: String? = null
) {
    Box(
        Modifier
            .height(500.dp)
            .fillMaxWidth(),
        contentAlignment = Alignment.Center
    ) {
        Column(horizontalAlignment = Alignment.CenterHorizontally) {
            Icon(
                modifier = Modifier
                    .padding(4.dp)",,
pilot-0078,error_state_no_semantics,christianrowlands__android-network-survey,christianrowlands__android-network-survey/networksurvey/src/main/java/com/craxiom/networksurvey/ui/cellular/CalculatorScreen.kt,NciInputField,isError set without semantics { error(...) },"
@Composable
fun NciInputField(
    cellIdInput: String,
    viewModel: CalculatorViewModel,
    onValueChange: (String) -> Unit
) {
    val nciError by viewModel.nciError.collectAsState()

    OutlinedTextField(
        value = cellIdInput,
        onValueChange = onValueChange,
        label = { Text(""NCI"") },
        keyboardOptions = KeyboardOptions.Default.copy(keyboardType = KeyboardType.Number),
        modifier = Modifier.fillMaxWidth(),
        singleLine = true,",,
pilot-0033,color_contrast,kursatkumsuz__movie,kursatkumsuz__movie/core/component/src/main/java/com/kursatkumsuz/component/AuthPasswordText.kt,AuthPasswordText,6 hardcoded Color literals with Text,"@OptIn(ExperimentalMaterial3Api::class)
@Composable
fun AuthPasswordText(onInput: (String) -> Unit) {

    var passwordState by remember { mutableStateOf("""") }
    var passwordVisibility by remember { mutableStateOf(false) }


    val icon = if (passwordVisibility) {
        painterResource(id = R.drawable.ic_visible)
    } else {
        painterResource(id = R.drawable.ic_invisible)
    }

    TextField(
        value = passwordState,",,
pilot-0102,missing_heading_semantics,Angel-Studio__SoundTap,Angel-Studio__SoundTap/app/src/main/java/fr/angel/soundtap/ui/OnboardingScreen.kt,OnboardingScreen,headlineMedium text without heading(),"@OptIn(ExperimentalMaterial3Api::class, ExperimentalPermissionsApi::class)
@Composable
fun OnboardingScreen(
	modifier: Modifier = Modifier,
	mainViewModel: MainViewModel,
) {
	val context = LocalContext.current
	val density = LocalDensity.current

	val accessibilityServiceUiState by SoundTapAccessibilityService.uiState.collectAsStateWithLifecycle()
	val uiState by mainViewModel.uiState.collectAsStateWithLifecycle()

	var hasAcceptedPrivacyPolicy by rememberSaveable { mutableStateOf(false) }
	var hasAcceptedAccessibilityServiceConditions by rememberSaveable { mutableStateOf(false) }

	val notificationsPermissionState = rememberPermissionState(Manifest.permission.POST_NOTIFICATIONS)",,
pilot-0279,textfield_no_label,corphish__TextTools,corphish__TextTools/app/src/main/java/com/corphish/quicktools/activities/NumberAnalysisActivity.kt,InputSection,TextField with placeholder but no label,"
@Composable
fun InputSection(
    text: String,
    selectedBase: Int,
    supportedBases: List<Int>,
    onTextChange: (String) -> Unit,
    onBaseChange: (Int) -> Unit,
    modifier: Modifier = Modifier,
    isWideScreen: Boolean = false
) {
    var expanded by remember { mutableStateOf(false) }

    Column(modifier = modifier.padding(vertical = 16.dp, horizontal = 16.dp)) {
        Text(
            text = stringResource(R.string.input),",,
pilot-0182,missing_state_description,demosten-com__SrednaBG,demosten-com__SrednaBG/android/app/src/main/kotlin/com/demosten/srednabg/app/ui/screens/SettingsScreen.kt,SettingsScreen,Switch without stateDescription,"@OptIn(ExperimentalMaterial3Api::class, ExperimentalComposeUiApi::class)
@Composable
fun SettingsScreen(viewModel: SettingsViewModel = hiltViewModel()) {
    val voiceEnabled by viewModel.voiceEnabled.collectAsStateWithLifecycle()
    val periodicVoiceUpdates by viewModel.periodicVoiceUpdates.collectAsStateWithLifecycle()
    val announceOnlyWhenOver by viewModel.announceOnlyWhenOver.collectAsStateWithLifecycle()
    val appLanguage by viewModel.appLanguage.collectAsStateWithLifecycle()
    val vehicleType by viewModel.vehicleType.collectAsStateWithLifecycle()
    val autoStopHours by viewModel.autoStopHours.collectAsStateWithLifecycle()
    val historyRetention by viewModel.historyRetention.collectAsStateWithLifecycle()
    val mapThemeMode by viewModel.mapThemeMode.collectAsStateWithLifecycle()
    val zoneSyncEnabled by viewModel.zoneSyncEnabled.collectAsStateWithLifecycle()
    val overlayEnabled by viewModel.overlayEnabled.collectAsStateWithLifecycle()
    val isSyncing by viewModel.isSyncing.collectAsStateWithLifecycle()
    val zoneDataVersion by viewModel.zoneDataVersion.collectAsStateWithLifecycle()
    val zoneDataHash by viewModel.zoneDataHash.collectAsStateWithLifecycle()",,
pilot-0253,text_truncation_scaling,nemoXdev__CryptoSafe,nemoXdev__CryptoSafe/app/src/main/java/com/cryptosafe/app/MainActivity.kt,CryptoSafeApp,maxLines = 1 with Ellipsis (clips at large font scale),"@OptIn(ExperimentalMaterial3Api::class)
@Composable
fun CryptoSafeApp(
    vm: MainViewModel,
    database: AppDatabase? = null,
    locked: Boolean = false
) {
    val context = LocalContext.current
    val scope = rememberCoroutineScope()
    var showLanguageMenu by remember { mutableStateOf(false) }

    
    LaunchedEffect(locked) {
        if (locked) {
            vm.onLocked()
        }",,
pilot-0027,color_contrast,jmccoy600__androidCrypt,jmccoy600__androidCrypt/app/src/main/java/com/androidcrypt/app/MainActivity.kt,FileManagerScreen,18 hardcoded Color literals with Text,"
@Composable
fun FileManagerScreen() {
    val context = LocalContext.current
    val scope = rememberCoroutineScope()
    
    // Mounted volume state
    var mountedVolumes by remember { mutableStateOf(VolumeMountManager.getMountedVolumes()) }
    var selectedVolume by remember { mutableStateOf<String?>(null) }
    var volumeInfo by remember { mutableStateOf<MountedVolumeInfo?>(null) }
    var usedSpace by remember { mutableStateOf(0L) }
    var freeSpace by remember { mutableStateOf(0L) }
    var totalSpace by remember { mutableStateOf(0L) }
    
    // UI state
    var statusMessage by remember { mutableStateOf("""") }",,
pilot-0152,missing_merge_descendants,KaushalVasava__XPhotogram,KaushalVasava__XPhotogram/app/src/main/java/com/lahsuak/apps/instagram/ui/components/PostItem.kt,PostItem,"clickable Row with 2 Text children, no mergeDescendants","
@Composable
fun PostItem(
    post: Post,
    user: User,
    onImageClick: () -> Unit,
    onMoreClick: () -> Unit,
) {
    var likes by remember {
        mutableIntStateOf(post.likeCount)
    }
    var isExpanded by remember {
        mutableStateOf(false)
    }
    Column(Modifier.padding(vertical = 4.dp)) {
        Row(",,
pilot-0101,missing_heading_semantics,krzdabrowski__android-starter-2022,krzdabrowski__android-starter-2022/basic-feature/src/main/java/eu/krzdabrowski/starter/basicfeature/presentation/composable/RocketsErrorContent.kt,RocketsErrorContent,headlineSmall text without heading(),"
@Composable
fun RocketsErrorContent(modifier: Modifier = Modifier) {
    Box(
        modifier = modifier
            .fillMaxSize()
            .verticalScroll(rememberScrollState()), // for swipe-to-refresh
        contentAlignment = Alignment.Center,
    ) {
        Text(
            text = stringResource(id = R.string.rockets_error_fetching),
            color = Color.Red,
            textAlign = TextAlign.Center,
            style = MaterialTheme.typography.headlineSmall,
        )
    }",,
pilot-0184,missing_state_description,iOrchid__android-jetpack-demo,iOrchid__android-jetpack-demo/compose/src/main/java/org/zhiwei/compose/screen/basic/material3/WidgetScreen.kt,UI_Radio,RadioButton without stateDescription,"
@Composable
private fun UI_Radio() {
    Title_Text(title = ""RadioButton"")
    Title_Sub_Text(title = ""RadioButton可单个使用，一般也是用在radioGroup中组合使用"")
    //在compose中，每个基础控件都是细颗粒度的，通过多样化组合来实现想要的效果
    var isRadioSelected by remember { mutableStateOf(true) }
    Title_Desc_Text(desc = ""常规使用，启用与禁用的状态，及点击选中，颜色配置等"")
    Row(modifier = Modifier.fillMaxWidth(), horizontalArrangement = Arrangement.SpaceEvenly) {
        // 可用状态
        RadioButton(selected = isRadioSelected, onClick = { isRadioSelected = !isRadioSelected })
        RadioButton(
            selected = !isRadioSelected,
            onClick = { isRadioSelected = !isRadioSelected },
            colors = RadioButtonDefaults.colors(
                selectedColor = Color(0xffE91E63),",,
pilot-0262,textfield_no_label,beradeep__aiyo,beradeep__aiyo/ui/src/main/java/com/beradeep/aiyo/ui/screens/components/ModelSelectionSheet.kt,ModelSelectionSheet,TextField with placeholder but no label,"
@Composable
fun ModelSelectionSheet(
    isVisible: Boolean,
    modifier: Modifier = Modifier,
    isFetchingModels: Boolean,
    fetchModels: () -> Unit,
    models: List<Model>,
    selectedModel: Model,
    onModelSelected: (Model) -> Unit,
    onDismiss: () -> Unit
) {
    ModalBottomSheet(
        isVisible = isVisible,
        onDismissRequest = onDismiss,
        sheetGesturesEnabled = false",,
pilot-0074,error_state_no_semantics,maxwhipw__marmalade-tts-android,maxwhipw__marmalade-tts-android/app/src/main/java/app/marmalade/tts/ui/screen/AliasScreen.kt,AliasEditorSheet,isError set without semantics { error(...) },"@OptIn(ExperimentalMaterial3Api::class)
@Composable
private fun AliasEditorSheet(
    state: EditorState,
    voicePath: VoicePath?,
    effects: List<Effect>,
    canDelete: Boolean,
    canSetPrimary: Boolean,
    fallbackCandidates: List<VoiceAlias>,
    onSetPrimary: () -> Unit,
    onNameChange: (String) -> Unit,
    onOpenVoicePicker: () -> Unit,
    onFallbackChange: (String?) -> Unit,
    onSpeedChange: (Float) -> Unit,
    onEffectChange: (String?) -> Unit,
    onPhonemizationLanguageChange: (String?) -> Unit,",,
pilot-0090,missing_content_description,android__nowinandroid,android__nowinandroid/app-nia-catalog/src/main/kotlin/com/google/samples/apps/niacatalog/ui/Catalog.kt,NiaCatalog,contentDescription = null,"@OptIn(ExperimentalLayoutApi::class)
@Composable
fun NiaCatalog() {
    NiaTheme {
        Surface {
            val contentPadding = WindowInsets
                .systemBars
                .add(WindowInsets(left = 16.dp, top = 16.dp, right = 16.dp, bottom = 16.dp))
                .asPaddingValues()
            LazyColumn(
                modifier = Modifier.fillMaxSize(),
                contentPadding = contentPadding,
                verticalArrangement = Arrangement.spacedBy(16.dp),
            ) {
                item {
                    Text(",,
pilot-0239,progress_no_semantics,Chesire__Nekome,Chesire__Nekome/features/search/src/main/java/com/chesire/nekome/app/search/search/ui/SearchScreen.kt,Render,CircularProgressIndicator without progressSemantics,"
@Composable
private fun Render(
    state: State<UIState>,
    onInputTextChanged: (String) -> Unit,
    onSearchGroupSelected: (SearchGroup) -> Unit,
    onSearchPressed: () -> Unit,
    onSeriesTrack: (ResultModel) -> Unit,
    onSnackbarShown: () -> Unit
) {
    val snackbarHostState = remember { SnackbarHostState() }

    Scaffold(
        snackbarHost = {
            SnackbarHost(
                hostState = snackbarHostState,",,
pilot-0071,error_state_no_semantics,eslamfaisal__android-compose-clean-architecture-sample,eslamfaisal__android-compose-clean-architecture-sample/app/src/androidTest/java/com/eslam/bakingapp/ui/LoginScreenTest.kt,LoginTestContent,isError set without semantics { error(...) },"
@Composable
private fun LoginTestContent(
    uiState: LoginUiState,
    onEmailChange: (String) -> Unit,
    onPasswordChange: (String) -> Unit,
    onLoginClick: () -> Unit
) {
    Column(
        modifier = Modifier
            .fillMaxSize()
            .padding(24.dp),
        horizontalAlignment = Alignment.CenterHorizontally,
        verticalArrangement = Arrangement.Center
    ) {
        Text(",,
pilot-0283,touch_target_size,dmzz-yyhyy__LightNovelReader,dmzz-yyhyy__LightNovelReader/app/src/main/kotlin/indi/dmzz_yyhyy/lightnovelreader/ui/components/Dialog.kt,ColorPickerDialog,size(44.dp) on interactive element,"@OptIn(ExperimentalLayoutApi::class)
@Composable
fun ColorPickerDialog(
    onDismissRequest: () -> Unit,
    onConfirmation: (Color) -> Unit,
    selectedColor: Color,
    colors: List<Color>,
    description: String = stringResource(R.string.dialog_color_picker_background_desc),
) {
    var currentColor by remember {
        mutableStateOf(selectedColor)
    }

    BaseDialog (
        icon = painterResource(R.drawable.palette_24px),
        title = stringResource(R.string.dialog_color_picker),",,
pilot-0115,missing_heading_semantics,jordond__MaterialKolor,jordond__MaterialKolor/builder/shared/src/commonMain/kotlin/com/materialkolor/builder/ui/home/preview/device/components/content/PhoneHomeScreen.kt,ListItem,headlineSmall text without heading(),"
@Composable
private fun ListItem(
    details: CardDetails,
    update: (CardOption) -> Unit,
    modifier: Modifier = Modifier,
) {
    Card(
        colors = CardDefaults.cardColors(
            containerColor = colorScheme.secondaryContainer,
        ),
        modifier = modifier,
    ) {
        Row(
            horizontalArrangement = Arrangement.spacedBy(8.dp),
            modifier = Modifier.fillMaxSize(),",,
pilot-0011,clickable_icon_not_iconbutton,IacobIonut01__ReFra,IacobIonut01__ReFra/app/src/main/kotlin/com/dot/gallery/cloud/ui/CloudAddServerScreen.kt,SelectableRow,Icon made clickable directly instead of IconButton,"
@Composable
private fun SelectableRow(
    icon: ImageVector,
    title: String,
    subtitle: String,
    checked: Boolean,
    onToggle: () -> Unit
) {
    Row(
        modifier = Modifier
            .fillMaxWidth()
            .clickable(onClick = onToggle)
            .padding(horizontal = 12.dp, vertical = 10.dp),
        verticalAlignment = Alignment.CenterVertically,
        horizontalArrangement = Arrangement.spacedBy(12.dp)",,
pilot-0140,missing_interaction_semantics,wisnukurniawan__Compose-ToDo,wisnukurniawan__Compose-ToDo/app/src/main/java/com/wisnu/kurniawan/composetodolist/features/todo/detail/ui/TaskScreen.kt,TaskCreator,.clickable without onClickLabel,"
@Composable
fun TaskCreator(
    modifier: Modifier = Modifier,
    text: String,
    color: Color,
    onClick: () -> Unit,
) {
    Row(
        modifier = modifier.fillMaxWidth(),
        horizontalArrangement = Arrangement.SpaceAround,
    ) {
        Surface(
            modifier = Modifier
                .fillMaxWidth()
                .padding(top = 8.dp, start = 16.dp, end = 16.dp, bottom = 32.dp)",,
pilot-0006,clickable_icon_not_iconbutton,maximilian-schwaerzler__Do-It,maximilian-schwaerzler__Do-It/app/src/main/java/at/co/schwaerzler/maximilian/doit/ui/navigation/screen/SettingsScreen.kt,SettingsScreenContent,Icon made clickable directly instead of IconButton,"@OptIn(ExperimentalMaterial3Api::class)
@Composable
fun SettingsScreenContent(
    onNavigateBack: () -> Unit,
    themeMode: AppThemeMode,
    onSetTheme: (AppThemeMode) -> Unit,
    versionName: String?,
    currentLocaleTag: String,
    supportedLocales: List<Pair<String, String>>,
    onSetLanguage: (String) -> Unit,
    notificationLeadTime: NotificationLeadTime,
    onSetNotificationLeadTime: (NotificationLeadTime) -> Unit,
    modifier: Modifier = Modifier,
    useDynamicColors: Boolean,
    onSetUseDynamicColors: (Boolean) -> Unit
) {",,
pilot-0107,missing_heading_semantics,norsehorse-dev__AgePonyAndroid,norsehorse-dev__AgePonyAndroid/app/src/main/java/com/agepony/app/ui/identities/IdentitiesScreen.kt,GenerateX25519,titleLarge text without heading(),"
@Composable
private fun GenerateX25519(vault: Vault, onDone: () -> Unit, onCancel: () -> Unit) {
    var name by rememberSaveable { mutableStateOf("""") }
    var busy by remember { mutableStateOf(false) }
    val scope = rememberCoroutineScope()

    Column(
        Modifier.fillMaxSize().padding(24.dp),
        verticalArrangement = Arrangement.spacedBy(16.dp),
    ) {
        Text(""age X25519"", style = MaterialTheme.typography.titleLarge, color = MaterialTheme.colorScheme.primary)
        Text(
            ""Creates a fresh age X25519 keypair, stored in your vault."",
            style = MaterialTheme.typography.bodyMedium,
            color = MaterialTheme.colorScheme.onSurfaceVariant,",,
pilot-0073,error_state_no_semantics,norsehorse-dev__AgePonyAndroid,norsehorse-dev__AgePonyAndroid/app/src/main/java/com/agepony/app/ui/VaultGate.kt,CreateSecretDialog,isError set without semantics { error(...) }," */
@Composable
private fun CreateSecretDialog(
    onConfirm: (CharArray, String) -> Unit,
    onDismiss: () -> Unit,
) {
    var kind by remember { mutableStateOf(""password"") }
    var value by remember { mutableStateOf("""") }
    var again by remember { mutableStateOf("""") }
    val focusRequester = remember { FocusRequester() }
    val keyboard = LocalSoftwareKeyboardController.current
    val view = LocalView.current
    val isPin = kind == ""pin""
    val mismatch = again.isNotEmpty() && value != again
    val valid = value.isNotEmpty() && value == again
",,
pilot-0039,color_contrast,GetStream__meeting-room-compose,GetStream__meeting-room-compose/app/src/main/kotlin/io/getstream/meeting/room/compose/ui/component/StreamButton.kt,StreamButton,2 hardcoded Color literals with Text,"
@Composable
fun StreamButton(
  modifier: Modifier = Modifier,
  text: String,
  enabled: Boolean = true,
  onClick: () -> Unit,
) {
  Button(
    modifier = modifier.clip(RoundedCornerShape(8.dp)),
    enabled = enabled,
    onClick = onClick,
    colors = ButtonDefaults.buttonColors(
      backgroundColor = VideoTheme.colors.primaryAccent,
      contentColor = VideoTheme.colors.primaryAccent,
      disabledBackgroundColor = Color(0xFF979797),",,
pilot-0245,text_truncation_scaling,IacobIonut01__ReFra,IacobIonut01__ReFra/app/src/main/kotlin/com/dot/gallery/cloud/ui/settings/CloudNetworkingScreen.kt,NetworkingHeroCard,maxLines = 1 with Ellipsis (clips at large font scale)," */
@Composable
private fun NetworkingHeroCard(
    effectiveUrl: String,
    localActive: Boolean,
    autoUrlSwitch: Boolean,
    onToggleAuto: (Boolean) -> Unit
) {
    Column(
        modifier = Modifier
            .fillMaxWidth()
            .padding(horizontal = 16.dp, vertical = 8.dp)
            .clip(RoundedCornerShape(28.dp))
            .background(MaterialTheme.colorScheme.surfaceContainer)
            .padding(20.dp),
        verticalArrangement = Arrangement.spacedBy(20.dp)",,
