rater_row_id,item_id,detector_category,A_verdict,B_verdict,A_category,B_category,A_notes,B_notes,adjudicated_verdict,adjudicated_category,adjudicator_notes
r0123,pilot-0185,missing_state_description,NO_ISSUE,HANDLED,none,none,Canonical Row.selectable(role=Role.RadioButton) with RadioButton(onClick=null) and merged label. Correct.,The parent uses toggleable/selectable semantics with the correct role and label; the child control is display-only.,HANDLED,,
r0124,pilot-0168,missing_semantics_role,NO_ISSUE,ISSUE,none,missing_interaction_semantics,"Full-screen scrim Box.clickable with an empty onClick and no indication, used to block touches behind a dialog. Not a control; TalkBack will still see a nameless clickable, which is a minor annoyance rather than a defect.",The click action is unlabeled or its visible label does not describe the action exposed at this node.,ISSUE,missing_interaction_semantics,
r0125,pilot-0140,missing_interaction_semantics,ISSUE,NO_ISSUE,missing_semantics_role,none,Surface with Modifier.clickable (not Surface(onClick)) and no role; 56dp tall so target is fine; name comes from merged Text.,The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0128,pilot-0126,missing_interaction_semantics,ISSUE,NO_ISSUE,missing_semantics_role,none,AnnotationRow Row.clickable with no role; name from merged excerpt/note text.,The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0129,pilot-0196,missing_state_description,UNSURE,NO_ISSUE,none,none,No anchor line resolved for this row (anchor_text is empty); the window shows a sample section built from a SettingsCheckbox library composable whose internals are not visible. Extraction artifact.,The anchor is a custom settings control with title content; its internal toggle semantics are outside this detector's visible construct.,UNSURE,,
r0130,pilot-0284,touch_target_size,ISSUE,ISSUE,clickable_icon_not_iconbutton,touch_target_size,"Third copy of the WhatsAppMessageTopBar back Icon (see r0080, r0083). Clickable Icon, null description, 26dp.","The visible clickable element is constrained below the 48 dp minimum, with no larger hit area in the visible modifier chain.",ISSUE,clickable_icon_not_iconbutton,CATEGORY ONLY: both agree on verdict; pick category
r0131,pilot-0138,missing_interaction_semantics,ISSUE,NO_ISSUE,missing_semantics_role,none,"Duplicate of r0065 (same file, same anchor 20). Row.clickable with no role; padding applied before clickable so the target excludes it.",The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0133,pilot-0169,missing_semantics_role,ISSUE,NO_ISSUE,clickable_icon_not_iconbutton,none,"Duplicate of r0031 (same file, anchor 200). Icon with .clickable directly; described, but roleless and under 48dp.",The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,clickable_icon_not_iconbutton,R3 named but roleless raw .clickable; confirm <48dp if downgrading
r0137,pilot-0156,missing_merge_descendants,NO_ISSUE,HANDLED,none,none,Card with Modifier.clickable; clickable merges descendants so the option's icon and text form one node. Merge is not missing. No role on the clickable.,The actionable container's clickable semantics already provide the grouping boundary for its descendant label content.,HANDLED,,
r0139,pilot-0179,missing_semantics_role,ISSUE,ISSUE,missing_state_description,missing_semantics_role,"Settings switch row implemented with plain .clickable that flips checked: no toggleable, no role, no checked state exposed on the row. Also the leading Icon is described as 'Icon', which is noise.",The clickable row changes a checked state but exposes neither the proper toggle role/state nor a single merged toggle action.,ISSUE,missing_state_description,CATEGORY ONLY: both agree on verdict; pick category
r0140,pilot-0003,clickable_icon_not_iconbutton,ISSUE,NO_ISSUE,missing_semantics_role,none,"'Go up' Row.clickable with no role; name from merged Icon description and '..' text, which is adequate.",The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0143,pilot-0178,missing_semantics_role,ISSUE,ISSUE,missing_content_description,clickable_icon_not_iconbutton,"24dp Box.clickable remove button whose only content is an Icon with null description: nameless, roleless, undersized. Same on the rename button.",The click action is unlabeled or its visible label does not describe the action exposed at this node.,ISSUE,clickable_icon_not_iconbutton,CATEGORY ONLY: both agree on verdict; pick category
r0144,pilot-0121,missing_interaction_semantics,NO_ISSUE,HANDLED,none,none,ListItem.clickable(role = Role.Button); clickable merges descendants and role is set. Correct.,The click target supplies an explicit role/action label or selected-state semantics at the actionable node.,HANDLED,,
r0147,pilot-0128,missing_interaction_semantics,ISSUE,NO_ISSUE,missing_semantics_role,none,'View online' Text made clickable with no role or onClickLabel; looks like body text. 8dp vertical padding inside clickable gives roughly 36dp height.,The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0148,pilot-0075,error_state_no_semantics,HANDLED,HANDLED,error_state_no_semantics,none,"Duplicate of r0093 (same file, anchor 367). isError with supportingText carrying the message.",The field receives visible supporting/error content (or an error-label parameter) together with its error state.,HANDLED,,CATEGORY ONLY: both agree on verdict; pick category
r0149,pilot-0030,color_contrast,NO_ISSUE,UNSURE,none,,"Anchor is a #F1EDFF circular background behind a tinted icon; no text is drawn on it, so text contrast does not apply. Icon tint vs. background is a non-text contrast question outside the 15 categories.","The final foreground/background pair depends on theme values, alpha compositing, or a backdrop not resolved in the visible source.",NO_ISSUE,,
r0150,pilot-0084,missing_content_description,ISSUE,ISSUE,clickable_icon_not_iconbutton,missing_content_description,"Back-arrow Image with .clickable directly and contentDescription=null in the app bar: nameless, roleless. fillMaxHeight x 50dp keeps the target size adequate.","This icon/image is itself actionable, but its content description is null or empty.",ISSUE,missing_content_description,CATEGORY ONLY: both agree on verdict; pick category
r0153,pilot-0224,progress_no_semantics,ISSUE,NO_ISSUE,progress_no_semantics,none,"Bare CircularProgressIndicator() while an app list loads, no label.",The imported Material progress indicator supplies progress-bar semantics by default.,HANDLED,none,R1 framework supplies progress role; no label -> other_issues
r0154,pilot-0159,missing_merge_descendants,NO_ISSUE,ISSUE,none,missing_merge_descendants,"Static informational Card (icon, titleMedium label, description), not interactive. Merging is optional here. The titleMedium label has no heading().","The card is one informational item, but its related icon/title/detail nodes are exposed separately with no grouping semantics.",ISSUE,missing_merge_descendants,
r0155,pilot-0281,touch_target_size,ISSUE,HANDLED,clickable_icon_not_iconbutton,none,"Back Image with .clickable and contentDescription=null; nameless, roleless. Padding sits inside clickable so the target is 52dp, which is fine.","The small visual is inside a larger padded/clickable parent, so the effective target is not limited to the icon's size.",ISSUE,missing_content_description,
r0157,pilot-0223,progress_no_semantics,HANDLED,NO_ISSUE,progress_no_semantics,none,"Two stacked determinate CircularProgressIndicators (value + full track). Determinate indicators carry progressSemantics from the framework, though the decorative 1f track ring will also announce as 100%, which is noise.","The anchor is a stroke-width parameter, not a progress UI node.",HANDLED,,
r0158,pilot-0066,error_state_no_semantics,UNSURE,HANDLED,error_state_no_semantics,none,"Duplicate of r0102 (same repo pattern, different app). isError and errorLabel passed into a custom EmailField not in the window.",The field receives visible supporting/error content (or an error-label parameter) together with its error state.,UNSURE,,
r0159,pilot-0199,missing_state_description,ISSUE,ISSUE,missing_semantics_role,missing_interaction_semantics,"RadioButton with onClick beside a MediumBody label in a plain Row; the Row is not selectable, so the label is not tied to the radio and only the 24dp radio is tappable. Correct form is Row.selectable(role=RadioButton) with RadioButton(onClick=null).",The toggle/radio/checkbox is not given a merged label and stateful role at the actionable node.,ISSUE,missing_merge_descendants,CATEGORY ONLY: both agree on verdict; pick category
r0160,pilot-0086,missing_content_description,ISSUE,HANDLED,missing_content_description,none,"Check Icon in a green circle signalling success/completion with contentDescription=null; the status is not conveyed by nearby text, which shows only an amount.","The icon/image is decorative within a labeled parent, so a null content description correctly avoids duplicate speech.",HANDLED,,
r0163,pilot-0013,clickable_icon_not_iconbutton,ISSUE,NO_ISSUE,missing_semantics_role,none,Third copy of the Do-It SettingsScreenContent clickable ListItem (see r0009). No role on the clickable; leading Icon is correctly decorative.,The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0164,pilot-0036,color_contrast,NO_ISSUE,UNSURE,none,,"Anchor is a 0.5dp border color on a header cell, not text. Border contrast is a non-text concern outside the 15 categories.","The final foreground/background pair depends on theme values, alpha compositing, or a backdrop not resolved in the visible source.",NO_ISSUE,,
r0165,pilot-0029,color_contrast,UNSURE,UNSURE,color_contrast,,Button background is #1F1F1F or #E0E0E0 by theme; the text color drawn on it is not in the window.,"The final foreground/background pair depends on theme values, alpha compositing, or a backdrop not resolved in the visible source.",UNSURE,,CATEGORY ONLY: both agree on verdict; pick category
r0170,pilot-0052,decorative_mislabeled,ISSUE,ISSUE,decorative_mislabeled,none,App icon Image in a hero header described 'croc-app icon' next to the app name Text; the description is redundant. Minor.,The spoken label is a hard-coded string rather than a localized resource.,ISSUE,decorative_mislabeled,R5 localization is out of scope; A label stands
r0171,pilot-0096,missing_content_description,NO_ISSUE,HANDLED,none,none,"Send Icon with null description inside a Button whose Text supplies the name; correctly decorative. The 18dp loading spinner swapped in during upload has no label, but the button Text still reads.","The icon/image is decorative within a labeled parent, so a null content description correctly avoids duplicate speech.",HANDLED,,
r0173,pilot-0248,text_truncation_scaling,NO_ISSUE,ISSUE,none,text_truncation_scaling,"Status label with weight(1f) + maxLines=1 + Ellipsis so the percentage stays visible; a deliberate layout choice noted in a comment, and the full string is still read by TalkBack. Visual truncation of a short status label is acceptable.",A single-line/max-lines constraint with clipping or ellipsis can hide essential text when font scaling or localization expands it.,NO_ISSUE,,R4 MANUAL: unique content? ISSUE(low) : NO_ISSUE
r0174,pilot-0042,decorative_mislabeled,NO_ISSUE,ISSUE,none,none,"Duplicate of r0039 (same file, anchor 106). IconButton with described Icon. Correct.",The spoken label is a hard-coded string rather than a localized resource.,NO_ISSUE,none,R5 localization is out of scope; A label stands
r0175,pilot-0090,missing_content_description,NO_ISSUE,HANDLED,none,none,Leading Icon inside a text button with contentDescription=null; the button's Text provides the name. Correct decorative treatment.,"The icon/image is decorative within a labeled parent, so a null content description correctly avoids duplicate speech.",HANDLED,,
r0177,pilot-0137,missing_interaction_semantics,ISSUE,ISSUE,missing_semantics_role,missing_interaction_semantics,"Attention Image made clickable (opens sync error) with no role; its description 'coin icon' misnames an error indicator. Bounded=false ripple at 20dp suggests a small target, size unknown.",The click action is unlabeled or its visible label does not describe the action exposed at this node.,ISSUE,missing_interaction_semantics,CATEGORY ONLY: both agree on verdict; pick category
r0178,pilot-0027,color_contrast,NO_ISSUE,UNSURE,none,,"Anchor is a status color assignment (#4CAF50, Color.Red) inside a coroutine, not a composable; where it is rendered is not in the window. #4CAF50 on white is roughly 2.8:1 and would fail if used for body text.","The final foreground/background pair depends on theme values, alpha compositing, or a backdrop not resolved in the visible source.",NO_ISSUE,,
r0180,pilot-0142,missing_merge_descendants,NO_ISSUE,HANDLED,none,none,Row inside the Card is .clickable with onClickLabel; clickable merges descendants so sender and code Texts form one node. Merge not missing and the click is labeled. Correct.,The actionable container's clickable semantics already provide the grouping boundary for its descendant label content.,HANDLED,,
r0182,pilot-0001,clickable_icon_not_iconbutton,ISSUE,NO_ISSUE,missing_semantics_role,none,"Fourth copy of the Do-It SettingsScreenContent clickable ListItem (see r0009, r0163). No role on the clickable.",The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0186,pilot-0260,text_truncation_scaling,NO_ISSUE,ISSUE,none,text_truncation_scaling,Toggle-button label with maxLines=1 + Ellipsis; short button labels are conventionally single-line and TalkBack reads the full text.,A single-line/max-lines constraint with clipping or ellipsis can hide essential text when font scaling or localization expands it.,NO_ISSUE,,R4 MANUAL: unique content? ISSUE(low) : NO_ISSUE
r0188,pilot-0172,missing_semantics_role,ISSUE,NO_ISSUE,missing_semantics_role,none,ListItem with Modifier.clickable and no role; clickable merges headline/supporting so the name is fine.,The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0189,pilot-0099,missing_content_description,ISSUE,ISSUE,decorative_mislabeled,missing_content_description,"Icon(icon, '') passes an empty string rather than null; an empty description is announced as nothing but still marks the node as non-decorative, and is the wrong idiom. Card is clickable so the icon should be null.","This icon/image is itself actionable, but its content description is null or empty.",ISSUE,decorative_mislabeled,CATEGORY ONLY: both agree on verdict; pick category
r0190,pilot-0037,color_contrast,NO_ISSUE,UNSURE,none,,"Badge with #388E3C text on a 16%-alpha #4CAF50 tint over a surface; on white the effective background stays near-white and #388E3C gives roughly 4.6:1, passing AA for labelMedium. Cannot verify dark theme.","The final foreground/background pair depends on theme values, alpha compositing, or a backdrop not resolved in the visible source.",UNSURE,,
r0191,pilot-0062,error_state_no_semantics,HANDLED,HANDLED,error_state_no_semantics,none,"AppTextField (custom wrapper) with label, isError and supportingText; assuming it forwards to Material, error semantics and message are provided.",The field receives visible supporting/error content (or an error-label parameter) together with its error state.,HANDLED,,CATEGORY ONLY: both agree on verdict; pick category
r0192,pilot-0151,missing_merge_descendants,NO_ISSUE,ISSUE,none,missing_merge_descendants,Static history Card with several Text rows and a Reorder Button; merging the whole card would collapse the button. Not interactive at the card level in the window.,"The card is one informational item, but its related icon/title/detail nodes are exposed separately with no grouping semantics.",NO_ISSUE,,
r0193,pilot-0237,progress_no_semantics,ISSUE,NO_ISSUE,progress_no_semantics,none,"Loading spinner with a sibling 'loading' Text that is not associated. Also that Text is white at 50% alpha, which is unlikely to reach 4.5:1.",The imported Material progress indicator supplies progress-bar semantics by default.,HANDLED,none,R1 framework supplies progress role; no label -> other_issues
r0196,pilot-0012,clickable_icon_not_iconbutton,ISSUE,NO_ISSUE,missing_semantics_role,none,"Duplicate of r0032 (same file, anchor 254). Clickable GlideImage with a name but no role; fallback branch is nameless.",The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0199,pilot-0028,color_contrast,ISSUE,NO_ISSUE,color_contrast,none,"Dark #0B0D0F background with Color.White text passes, but the 11sp label uses LinePurple at 80% alpha over #1A1D24; purple-on-dark at that size is likely under 4.5:1. Anchor color itself is fine; the derived text color is the risk.",The visible explicit foreground/background combination has adequate contrast at this anchor.,UNSURE,,
r0201,pilot-0005,clickable_icon_not_iconbutton,ISSUE,UNSURE,missing_semantics_role,,"Custom back button: Box.clickable with no role, Icon described 'back' gives a name. Size from dimen icon_button_size, unresolved.",The effective touch bounds depend on Material minimum-target enforcement or an unresolved dimension resource and cannot be confirmed from this window.,ISSUE,missing_semantics_role,
r0202,pilot-0123,missing_interaction_semantics,ISSUE,NO_ISSUE,missing_semantics_role,none,Column.clickable (edit action) with no role; name from merged food name and quantity text.,The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0203,pilot-0033,color_contrast,UNSURE,UNSURE,color_contrast,,Text color #95A6C5 on primaryContainer from the theme; the container color is theme-resolved so contrast cannot be computed from source. Light grey-blue text is a plausible failure on light containers.,"The final foreground/background pair depends on theme values, alpha compositing, or a backdrop not resolved in the visible source.",UNSURE,,CATEGORY ONLY: both agree on verdict; pick category
r0205,pilot-0163,missing_semantics_role,ISSUE,ISSUE,missing_semantics_role,missing_interaction_semantics,"Avatar image made clickable (navigates to profile) with no role; the description 'Avatar' is generic and does not name the person, which is the useful name for a link.",The click action is unlabeled or its visible label does not describe the action exposed at this node.,ISSUE,missing_interaction_semantics,CATEGORY ONLY: both agree on verdict; pick category
r0208,pilot-0139,missing_interaction_semantics,ISSUE,NO_ISSUE,missing_semantics_role,none,"CircularImage 'Your story' made clickable with no role; the name comes from the component if it exposes it. The AddCircle Icon overlay is null and not itself clickable, which is fine.",The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0209,pilot-0063,error_state_no_semantics,HANDLED,HANDLED,error_state_no_semantics,none,"OutlinedTextField with label, isError and supportingText carrying the error; the sibling section title even uses semantics { heading() }. Well-formed.",The field receives visible supporting/error content (or an error-label parameter) together with its error state.,HANDLED,,CATEGORY ONLY: both agree on verdict; pick category
r0210,pilot-0136,missing_interaction_semantics,NO_ISSUE,HANDLED,none,none,"Rail item with clickable(role=Role.Tab), semantics { selected = active }, heightIn(min=48dp) and merged label text. Correct.",The click target supplies an explicit role/action label or selected-state semantics at the actionable node.,HANDLED,,
r0212,pilot-0291,touch_target_size,ISSUE,ISSUE,missing_content_description,touch_target_size,"20dp color swatch Box.clickable with no content, no semantics, selection shown only by a border. Nameless, roleless, stateless and far under 48dp.","The visible clickable element is constrained below the 48 dp minimum, with no larger hit area in the visible modifier chain.",ISSUE,touch_target_size,CATEGORY ONLY: both agree on verdict; pick category
r0214,pilot-0071,error_state_no_semantics,UNSURE,HANDLED,error_state_no_semantics,none,isError and errorMessage are passed into a custom BakingTextField not in the window; likely rendered as supportingText but cannot confirm.,The field receives visible supporting/error content (or an error-label parameter) together with its error state.,UNSURE,,
r0216,pilot-0065,error_state_no_semantics,HANDLED,HANDLED,error_state_no_semantics,none,"Text field (BasicTextField-style state API) with isError and supportingText carrying the message; assuming a Material wrapper, error semantics and message are provided.",The field receives visible supporting/error content (or an error-label parameter) together with its error state.,HANDLED,,CATEGORY ONLY: both agree on verdict; pick category
r0217,pilot-0045,decorative_mislabeled,ISSUE,ISSUE,decorative_mislabeled,none,"Fastfood Icon described '92%', duplicating the adjacent Text '92%' so TalkBack reads the value twice; the icon should be null or describe the category ('food rating').",The spoken label is a hard-coded string rather than a localized resource.,ISSUE,decorative_mislabeled,R5 localization is out of scope; A label stands
r0218,pilot-0280,textfield_no_label,HANDLED,HANDLED,textfield_no_label,none,"OutlinedTextField with placeholder only, but the developer adds .semantics { contentDescription = searchLabel } and explains why in a comment; the field has a persistent accessible name.",A stable accessible name is supplied with semantics even though the visible prompt is a placeholder.,HANDLED,,CATEGORY ONLY: both agree on verdict; pick category
r0220,pilot-0041,decorative_mislabeled,NO_ISSUE,ISSUE,none,none,IconButton with Icon 'Back'. Correct. Favorite toggle keeps a static description (same pattern as r0077).,The spoken label is a hard-coded string rather than a localized resource.,NO_ISSUE,none,R5 localization is out of scope; A label stands
r0221,pilot-0124,missing_interaction_semantics,ISSUE,NO_ISSUE,missing_semantics_role,none,AboutRow with Modifier.clickable passed in and no role; leading icons are correctly null. Name comes from the row's label if AboutRow merges (likely via clickable).,The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0225,pilot-0024,color_contrast,NO_ISSUE,UNSURE,none,,"Anchor is a bar fill color in a Canvas chart, not text; chart data is drawn without semantics but that is outside the 15 categories. Non-text contrast of #4CAF50 bars on the card is not the anchor's question.","The final foreground/background pair depends on theme values, alpha compositing, or a backdrop not resolved in the visible source.",NO_ISSUE,,
r0226,pilot-0262,textfield_no_label,ISSUE,NO_ISSUE,textfield_no_label,none,"Search TextField with placeholder 'Search' only, no label. Leading Icon uses a custom wrapper with no description, which is fine as decorative.","The imported TextField is a project-specific wrapper, so the Material TextField detector does not apply at this anchor.",NO_ISSUE,,
r0228,pilot-0082,missing_content_description,NO_ISSUE,ISSUE,none,none,IconButton with Icon described 'Browser commands'. Correct.,The spoken label is a hard-coded string rather than a localized resource.,NO_ISSUE,none,R5 localization is out of scope; A label stands
r0232,pilot-0241,text_truncation_scaling,NO_ISSUE,ISSUE,none,text_truncation_scaling,Short labelSmall tile caption with maxLines=1 + Ellipsis; the value below is the content and is unconstrained. Caption truncation is acceptable.,A single-line/max-lines constraint with clipping or ellipsis can hide essential text when font scaling or localization expands it.,NO_ISSUE,,R4 MANUAL: unique content? ISSUE(low) : NO_ISSUE
r0234,pilot-0259,text_truncation_scaling,NO_ISSUE,ISSUE,none,text_truncation_scaling,"Section title with maxLines=1 + Ellipsis; titles are short resource strings and TalkBack reads the full text. It is a reusable SectionTitle with no heading(), which is the real gap.",A single-line/max-lines constraint with clipping or ellipsis can hide essential text when font scaling or localization expands it.,ISSUE,text_truncation_scaling,R4 MANUAL: unique content? ISSUE(low) : NO_ISSUE
r0237,pilot-0048,decorative_mislabeled,NO_ISSUE,ISSUE,none,none,"Clear-text action Icon with contentDescription 'Clear Text' via a custom wrapper that takes an onClick; naming is fine. 26dp visual size, and whether the wrapper pads the target is unknown.",The spoken label is a hard-coded string rather than a localized resource.,NO_ISSUE,none,R5 localization is out of scope; A label stands
r0238,pilot-0095,missing_content_description,NO_ISSUE,HANDLED,none,none,Decorative MenuBook Icon (null) beside a 'Contents' header Text. Correct. The header has no heading().,"The icon/image is decorative within a labeled parent, so a null content description correctly avoids duplicate speech.",HANDLED,,
r0240,pilot-0228,progress_no_semantics,ISSUE,NO_ISSUE,progress_no_semantics,none,14dp spinner with a sibling 'loading' Text that is not programmatically associated. Same pattern as r0006.,The imported Material progress indicator supplies progress-bar semantics by default.,HANDLED,none,R1 framework supplies progress role; no label -> other_issues
r0242,pilot-0202,pointerinput_no_semantics,UNSURE,NO_ISSUE,none,none,"Anchor resolved to an import line; only the import block is in the window. Extraction artifact, same as r0018.","The anchor is only an import, not a gesture attached to a UI element.",NO_ISSUE,,
r0243,pilot-0162,missing_semantics_role,NO_ISSUE,HANDLED,none,none,"44dp theme swatch Box.clickable with an explicit semantics block: role=RadioButton, selected state, contentDescription from the palette name. Well-formed; 44dp is close to minimum.",The click target supplies an explicit role/action label or selected-state semantics at the actionable node.,HANDLED,,
r0244,pilot-0044,decorative_mislabeled,NO_ISSUE,ISSUE,none,none,IconButton wrapping an Image with contentDescription 'Add new todo'. Correct; explicit 34dp size on an IconButton is padded to 48dp by the framework.,The spoken label is a hard-coded string rather than a localized resource.,NO_ISSUE,none,R5 localization is out of scope; A label stands
r0247,pilot-0191,missing_state_description,ISSUE,ISSUE,missing_semantics_role,missing_state_description,"Row.clickable(role=Role.RadioButton) is not selectable, so no selected state is exposed on the row, and the inner RadioButton keeps its own onClick giving two targets. selectable(selected, role) with RadioButton(onClick=null) is the correct form.",The toggle/radio/checkbox is not given a merged label and stateful role at the actionable node. The parent and child also create duplicate actions.,ISSUE,missing_state_description,CATEGORY ONLY: both agree on verdict; pick category
r0248,pilot-0221,progress_no_semantics,HANDLED,NO_ISSUE,progress_no_semantics,none,"Determinate LinearProgressIndicator with a progress lambda (framework progressSemantics) and an indeterminate fallback, both under a descriptive banner Text.",The imported Material progress indicator supplies progress-bar semantics by default.,HANDLED,,
r0250,pilot-0004,clickable_icon_not_iconbutton,ISSUE,NO_ISSUE,missing_semantics_role,none,"Duplicate of r0075 (same file, anchor 85). 42dp Box.clickable with no role; selected state only via enabled and color.",The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0251,pilot-0106,missing_heading_semantics,NO_ISSUE,ISSUE,none,missing_heading_semantics,"Empty-state title in titleLarge with subtitle and a button; it is the only content on screen, so heading navigation adds little. Adding heading() would be harmless but its absence is not a defect here.","The text functions as a screen, dialog, card, or section heading, but typography alone does not expose heading semantics.",ISSUE,missing_heading_semantics,
r0252,pilot-0054,decorative_mislabeled,ISSUE,ISSUE,decorative_mislabeled,none,"Large illustrative Icon described 'Install commands', duplicating the button label below it; better as null. Low impact.",The spoken label is a hard-coded string rather than a localized resource.,ISSUE,decorative_mislabeled,R5 localization is out of scope; A label stands
r0253,pilot-0134,missing_interaction_semantics,ISSUE,ISSUE,missing_content_description,missing_interaction_semantics,"Invisible Box overlaid on a date field (matchParentSize, indication=null) with .clickable to open a date picker; the Box has no name, role or label, so TalkBack finds an anonymous clickable covering the field.",The click action is unlabeled or its visible label does not describe the action exposed at this node.,ISSUE,missing_interaction_semantics,CATEGORY ONLY: both agree on verdict; pick category
r0254,pilot-0002,clickable_icon_not_iconbutton,ISSUE,ISSUE,missing_content_description,missing_interaction_semantics,"44dp color swatch Box.clickable with no name (no text, check Icon null) and selection shown only by a border. Nameless, roleless, stateless.",The click action is unlabeled or its visible label does not describe the action exposed at this node.,ISSUE,missing_interaction_semantics,CATEGORY ONLY: both agree on verdict; pick category
r0255,pilot-0132,missing_interaction_semantics,ISSUE,NO_ISSUE,missing_semantics_role,none,Merge-candidate Column.clickable with no role; name comes from merged GlideImage description and text.,The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0257,pilot-0050,decorative_mislabeled,ISSUE,ISSUE,decorative_mislabeled,none,Poster AsyncImage described 'Movie Image' beside the movie title Text; the description is redundant noise. Also Color(0xFF4AAEC0) 12sp overview text on an unknown dark background.,The spoken label is a hard-coded string rather than a localized resource.,ISSUE,decorative_mislabeled,R5 localization is out of scope; A label stands
r0258,pilot-0081,missing_content_description,NO_ISSUE,ISSUE,none,none,Help IconButton with Icon described 'Help'. Correct; explicit 40dp on IconButton is padded to 48dp by the framework.,The spoken label is a hard-coded string rather than a localized resource.,NO_ISSUE,none,R5 localization is out of scope; A label stands
r0260,pilot-0035,color_contrast,UNSURE,UNSURE,color_contrast,,Search input text #7D8597 on primaryContainer from the theme; container is theme-resolved so contrast cannot be computed. Mid-grey text is a plausible failure.,"The final foreground/background pair depends on theme values, alpha compositing, or a backdrop not resolved in the visible source.",UNSURE,,CATEGORY ONLY: both agree on verdict; pick category
r0262,pilot-0053,decorative_mislabeled,NO_ISSUE,ISSUE,none,none,"Glance widget refresh Image with contentDescription 'refresh' and GlanceModifier.clickable; named and actionable. Glance has no role API. Day text #787878 on #001F3F is roughly 2.4:1, failing.",The spoken label is a hard-coded string rather than a localized resource.,NO_ISSUE,none,R5 localization is out of scope; A label stands
r0264,pilot-0014,clickable_icon_not_iconbutton,ISSUE,NO_ISSUE,missing_semantics_role,none,"ListItem with Modifier.clickable and no role; clickable merges headline and the selected check Icon description. Selected state is conveyed via that description rather than semantics, which works but is fragile.",The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0265,pilot-0089,missing_content_description,NO_ISSUE,HANDLED,none,none,Product placeholder Image with contentDescription=null beside brand and product name Texts; the image is illustrative and the text carries the information. Color.Gray brand text on an unknown background.,"The icon/image is decorative within a labeled parent, so a null content description correctly avoids duplicate speech.",HANDLED,,
r0268,pilot-0135,missing_interaction_semantics,ISSUE,NO_ISSUE,missing_semantics_role,none,Settings Row.clickable with no role; label and value Texts merge into the name via clickable.,The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0270,pilot-0244,text_truncation_scaling,NO_ISSUE,ISSUE,none,text_truncation_scaling,Selected-status label in a dropdown trigger with maxLines=1 + Ellipsis; short resource strings and TalkBack reads the full text.,A single-line/max-lines constraint with clipping or ellipsis can hide essential text when font scaling or localization expands it.,NO_ISSUE,,R4 MANUAL: unique content? ISSUE(low) : NO_ISSUE
r0271,pilot-0055,decorative_mislabeled,ISSUE,ISSUE,decorative_mislabeled,none,"Duplicate of r0217 (same file, anchor 278). Icon described '92%' next to Text '92%'.",The spoken label is a hard-coded string rather than a localized resource.,ISSUE,decorative_mislabeled,R5 localization is out of scope; A label stands
r0272,pilot-0051,decorative_mislabeled,ISSUE,ISSUE,decorative_mislabeled,none,Leading Icon described 'Icon' and the trailing IconButton's Icon described 'Button Icon'; both are noise and the trailing one is an unnamed action. The row itself is not clickable.,The spoken label is a hard-coded string rather than a localized resource.,ISSUE,decorative_mislabeled,R5 localization is out of scope; A label stands
r0273,pilot-0175,missing_semantics_role,ISSUE,NO_ISSUE,missing_semantics_role,none,Nav row .clickable with no role; drag handle Icon is described 'Drag to reorder' but the drag itself is gesture-only (see r0206).,The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
